name,id,iso,population_size,vaccine_hesitant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Azerbaijan,10,AZ,10047719,0.5269,0.015126,0.01636,0.017187,0.017651,0.018109,0.017767,0.01727,0.016656,0.015966,0.015206,0.014382,0.013699,0.013261,0.013009,0.01277,0.012569,0.012521,0.012663,0.012956,0.01329,0.013649,0.014161,0.014866,0.015682,0.01648,0.017275,0.017932,0.018365,0.018619,0.018841,0.019025,0.019002,0.018711,0.018225,0.017705,0.017149,0.016519,0.015823,0.015098,0.014365,0.013611,0.013024,0.012698,0.012556,0.012421,0.01232,0.012271,0.012264,0.012295,0.012337,0.012359,0.012469,0.012707,0.012995,0.013239,0.013487,0.013457,0.013012,0.012283,0.011553,0.010777,0.009989,0.00924,0.008512,0.007753,0.006984,0.006232,0.005506,0.004817,0.004157,0.003522,0.003,0.002631,0.00238,0.002149,0.001936,0.00182,0.001822,0.001896,0.001987,0.002121,0.002132,0.001938,0.001615,0.001324,0.001031,0.000786,0.000628,0.000531,0.000409,0.000306,0.000242,0.000181,0.000121,7.90E-05,6.10E-05,4.80E-05,3.40E-05,1.80E-05,8.00E-06,1.10E-05
Bahamas (the),11,BS,389486,0.6054,0.014858,0.014054,0.013526,0.013243,0.012771,0.01314,0.01359,0.014096,0.014627,0.0152,0.015831,0.016293,0.016486,0.016504,0.016535,0.016537,0.016573,0.016699,0.016876,0.016989,0.017051,0.017112,0.017194,0.017261,0.017307,0.017377,0.017212,0.016699,0.015977,0.015284,0.01455,0.014034,0.013875,0.013949,0.013998,0.014075,0.014131,0.014108,0.014052,0.014024,0.01398,0.014039,0.014255,0.01455,0.01482,0.015112,0.015187,0.014915,0.014422,0.013934,0.013377,0.012971,0.01284,0.012855,0.012804,0.012745,0.012499,0.011957,0.011222,0.010511,0.00979,0.009089,0.008455,0.007869,0.007271,0.00667,0.006129,0.005669,0.005271,0.004891,0.004521,0.0042,0.003931,0.003697,0.003482,0.003284,0.003071,0.002814,0.002529,0.002267,0.002015,0.001774,0.001546,0.00133,0.001125,0.000927,0.000757,0.000624,0.000521,0.000419,0.000341,0.000282,0.000221,0.000154,0.000105,8.50E-05,6.90E-05,4.90E-05,3.10E-05,1.30E-05,2.10E-05
Bahrain,12,BH,1641164,0.3032,0.011966,0.012848,0.013449,0.013799,0.013897,0.013726,0.013449,0.013093,0.012682,0.012213,0.011683,0.011266,0.01105,0.010971,0.010975,0.011187,0.011129,0.010596,0.009883,0.00937,0.008821,0.00937,0.011569,0.014832,0.017917,0.020947,0.023891,0.026571,0.028931,0.031227,0.033565,0.034631,0.033846,0.031813,0.029745,0.02743,0.025289,0.023663,0.022369,0.020866,0.019245,0.017839,0.016755,0.015898,0.015062,0.014282,0.013537,0.012795,0.01207,0.01141,0.01081,0.010215,0.009605,0.008999,0.008418,0.007836,0.007353,0.007012,0.006756,0.006501,0.006296,0.005933,0.005313,0.004542,0.00382,0.0031,0.002515,0.002151,0.001939,0.001723,0.001524,0.001361,0.001222,0.001105,0.001018,0.000957,0.000896,0.000819,0.000734,0.000665,0.000609,0.000545,0.000467,0.000381,0.000303,0.000227,0.000168,0.000136,0.000122,0.000112,0.000105,9.10E-05,7.00E-05,4.30E-05,2.30E-05,1.40E-05,1.10E-05,8.00E-06,4.00E-06,2.00E-06,4.00E-06
Bangladesh,13,BD,163046173,0.3045,0.017632,0.017625,0.017645,0.017691,0.017841,0.017888,0.017956,0.018044,0.018148,0.018258,0.018366,0.0185,0.01867,0.018855,0.019026,0.019194,0.019288,0.019269,0.019172,0.019067,0.018946,0.018802,0.01864,0.018464,0.018268,0.01805,0.017846,0.017673,0.017515,0.017339,0.017148,0.016949,0.01674,0.016518,0.016283,0.016037,0.015753,0.015417,0.015042,0.014663,0.014285,0.013872,0.013414,0.012932,0.012449,0.011946,0.011528,0.011245,0.011045,0.010825,0.010604,0.01034,0.01,0.009604,0.009215,0.008833,0.008388,0.007856,0.007272,0.006699,0.006136,0.005594,0.005089,0.004624,0.004171,0.003718,0.003386,0.003228,0.003184,0.003145,0.003134,0.003082,0.002946,0.002757,0.002591,0.002438,0.002273,0.002092,0.001902,0.001714,0.001527,0.001351,0.001196,0.001056,0.00092,0.00079,0.000672,0.000566,0.000473,0.000381,0.000307,0.000254,0.0002,0.000142,0.000102,8.30E-05,6.70E-05,4.90E-05,2.90E-05,1.80E-05,3.00E-05
Barbados,14,BB,287021,0.473,0.010891,0.010602,0.010438,0.010383,0.010376,0.010543,0.010769,0.011031,0.011323,0.011633,0.011968,0.012274,0.012536,0.012755,0.012978,0.013201,0.013337,0.013351,0.013281,0.013205,0.013097,0.01303,0.013051,0.013121,0.013173,0.013236,0.013226,0.013104,0.012915,0.012741,0.01255,0.012473,0.012588,0.012821,0.013041,0.013295,0.013435,0.013389,0.013236,0.013107,0.01295,0.012936,0.013152,0.013508,0.013832,0.014184,0.014382,0.014316,0.014097,0.013894,0.013651,0.013546,0.013678,0.01395,0.014156,0.014347,0.014417,0.014295,0.01403,0.013769,0.01349,0.013131,0.012682,0.01217,0.01163,0.011055,0.010525,0.01009,0.009714,0.009316,0.008933,0.008494,0.007965,0.007386,0.006829,0.006261,0.005794,0.005466,0.005237,0.005003,0.004791,0.004536,0.004209,0.003836,0.003488,0.00315,0.00284,0.002568,0.002331,0.002083,0.001895,0.001697,0.001439,0.001132,0.000902,0.000773,0.000662,0.000533,0.000387,0.000279,0.000704
Belarus,15,BY,9452409,0.4174,0.009877,0.01119,0.012127,0.012728,0.012941,0.012886,0.01267,0.012326,0.011889,0.011357,0.010727,0.010218,0.009937,0.009809,0.009681,0.009619,0.009491,0.009224,0.008918,0.008698,0.008482,0.008654,0.009398,0.010516,0.011587,0.012657,0.013696,0.014634,0.015462,0.016285,0.017135,0.017575,0.017415,0.016855,0.016293,0.015655,0.015109,0.014783,0.014599,0.014344,0.014049,0.013829,0.013717,0.013675,0.013665,0.013736,0.013672,0.013376,0.01297,0.012603,0.012165,0.012154,0.012808,0.013855,0.014819,0.015833,0.016427,0.016329,0.015775,0.015245,0.01461,0.014097,0.013856,0.013743,0.013535,0.013361,0.012774,0.011556,0.00997,0.008458,0.006888,0.005765,0.00537,0.005456,0.005472,0.005503,0.005541,0.005519,0.005447,0.00543,0.00548,0.005325,0.004852,0.004181,0.00354,0.002874,0.00233,0.002001,0.001814,0.001592,0.001444,0.001253,0.000982,0.000643,0.000384,0.000278,0.00022,0.000152,7.60E-05,3.70E-05,4.00E-05
Belgium,16,BE,11539326,0.2147,0.010592,0.010858,0.011081,0.011265,0.011315,0.011456,0.01156,0.01163,0.011668,0.011685,0.011691,0.011645,0.011531,0.011377,0.011229,0.01108,0.010982,0.010965,0.011012,0.011057,0.011096,0.011218,0.011457,0.011765,0.012072,0.012398,0.012641,0.012744,0.012756,0.012779,0.01279,0.012815,0.012879,0.012961,0.013027,0.01309,0.013122,0.013104,0.013058,0.013018,0.012976,0.012963,0.012997,0.013064,0.013127,0.013188,0.013269,0.013379,0.013503,0.013618,0.013718,0.013817,0.013917,0.014004,0.014069,0.01412,0.014087,0.013937,0.0137,0.013451,0.013185,0.012882,0.012541,0.012176,0.011785,0.011347,0.010991,0.010776,0.010635,0.010474,0.010346,0.010033,0.009428,0.00865,0.007905,0.007126,0.006546,0.006296,0.006253,0.006169,0.006096,0.005947,0.005654,0.005264,0.004905,0.004562,0.004179,0.003743,0.003278,0.002775,0.002354,0.002042,0.001667,0.001229,0.000925,0.000794,0.000656,0.000475,0.000251,0.000135,0.000154
Belize,17,BZ,390351,0.4803,0.020215,0.020184,0.020128,0.020056,0.020154,0.019956,0.019782,0.019636,0.019521,0.019424,0.019316,0.019326,0.019506,0.019787,0.020051,0.02032,0.020505,0.020538,0.020466,0.020389,0.020287,0.020133,0.019921,0.019654,0.019357,0.019029,0.018663,0.018253,0.017812,0.017351,0.016869,0.016393,0.015942,0.015504,0.015063,0.014636,0.014177,0.013665,0.013132,0.012614,0.012081,0.011666,0.011426,0.011295,0.011157,0.011036,0.010844,0.010519,0.010106,0.009714,0.009315,0.008948,0.008638,0.008362,0.008072,0.007785,0.007457,0.00706,0.006622,0.006197,0.005774,0.005377,0.005031,0.004719,0.004409,0.004107,0.00382,0.003551,0.0033,0.003061,0.002836,0.002626,0.002418,0.002226,0.002044,0.00187,0.001722,0.001604,0.001506,0.001417,0.001337,0.00125,0.001143,0.001022,0.000912,0.000807,0.000712,0.00063,0.000564,0.000497,0.000453,0.000395,0.000307,0.00019,0.000105,7.20E-05,5.60E-05,4.10E-05,2.60E-05,1.50E-05,3.10E-05
Benin,18,BJ,11801151,0.7976,0.033347,0.032529,0.031731,0.030952,0.030256,0.029502,0.028765,0.028043,0.027334,0.02664,0.025963,0.025283,0.024592,0.023898,0.023218,0.022544,0.021896,0.021285,0.020699,0.020118,0.019548,0.018974,0.01839,0.017801,0.017223,0.016658,0.016092,0.015523,0.014956,0.014401,0.013855,0.013333,0.012844,0.012382,0.011931,0.011492,0.011069,0.010661,0.010268,0.009889,0.009524,0.009169,0.008823,0.008486,0.00816,0.007843,0.007541,0.007257,0.006987,0.006723,0.006468,0.006212,0.005948,0.005683,0.005425,0.005173,0.004925,0.004681,0.004441,0.004206,0.003976,0.003756,0.003548,0.003351,0.003159,0.002975,0.002793,0.002613,0.002437,0.002266,0.002099,0.001947,0.001817,0.0017,0.001588,0.001484,0.001366,0.001224,0.00107,0.000924,0.000783,0.000658,0.000558,0.000477,0.000399,0.000327,0.000265,0.000213,0.000169,0.000129,9.90E-05,7.90E-05,6.00E-05,4.00E-05,2.70E-05,2.10E-05,1.70E-05,1.20E-05,7.00E-06,3.00E-06,4.00E-06
Bhutan,19,BT,763094,0.1503,0.017508,0.016951,0.016547,0.016281,0.016006,0.016078,0.01621,0.016391,0.016611,0.016873,0.01718,0.017446,0.01763,0.017765,0.017923,0.018088,0.01828,0.01851,0.01877,0.019007,0.019218,0.019467,0.01978,0.020114,0.020401,0.020651,0.020802,0.02081,0.020697,0.020547,0.020362,0.020017,0.019462,0.018762,0.018032,0.017255,0.0165,0.015821,0.015187,0.014532,0.013879,0.013232,0.012586,0.011958,0.011347,0.010734,0.010232,0.009889,0.009648,0.009413,0.009219,0.008941,0.008519,0.008009,0.007534,0.007055,0.006666,0.00642,0.006264,0.006101,0.005961,0.005758,0.005445,0.005068,0.004715,0.004363,0.004081,0.003909,0.003809,0.003699,0.003596,0.003477,0.003319,0.003136,0.002964,0.0028,0.002621,0.002416,0.0022,0.001988,0.001776,0.001578,0.001405,0.00125,0.001098,0.000954,0.000822,0.000702,0.000596,0.000491,0.000408,0.000345,0.000278,0.000206,0.000156,0.000132,0.000107,8.30E-05,5.40E-05,3.80E-05,7.90E-05
